date,y
2015-03-12,2083
2015-03-13,2287
2015-03-14,1247
2015-03-15,1120
2015-03-16,1668
2015-03-17,2006
2015-03-18,2359
2015-03-19,2649
2015-03-20,2006
2015-03-21,1364
2015-03-22,966
2015-03-23,1626
2015-03-24,2001
2015-03-25,1992
2015-03-26,2279
2015-03-27,1850
2015-03-28,1250
2015-03-29,968
2015-03-30,1411
2015-03-31,1833
2015-04-01,1923
2015-04-02,1910
2015-04-03,1486
2015-04-04,1044
2015-04-05,927
2015-04-06,1030
2015-04-07,1965
2015-04-08,1768
2015-04-09,2082
2015-04-10,2063
2015-04-11,1424
2015-04-12,1073
2015-04-13,1664
2015-04-14,1799
2015-04-15,1947
2015-04-16,1839
2015-04-17,1885
2015-04-18,1237
2015-04-19,950
2015-04-20,1636
2015-04-21,1928
2015-04-22,1898
2015-04-23,2323
2015-04-24,1979
2015-04-25,1259
2015-04-26,1158
2015-04-27,1617
2015-04-28,2144
2015-04-29,2028
